otm_code,genus,species,cultivar,other,common_name
ACPLC,Acer,platanoides,Columnar,,Norway maple 'Columnar'
ACPLCK,Acer,platanoides,Crimson King,,Norway maple 'Crimson King'
ACPLCO,Acer,platanoides,Columnare,,Columnare maple
ACPLCR,Acer,platanoides,Crimson King,,Crimson king maple
ACPLFA,Acer,platanoides,Fairview,,Norway maple 'Fairveiw'
ACPLQE,Acer,platanoides,Queen Elizabeth,,Norway maple 'Queen Elizabeth'
ACPLSC,Acer,platanoides,Schwedleri,,Norway maple 'Schwedler'
ACPS,Acer,pseudoplatanus,,,Sycamore maple
ACPS_S,Acer,pseudoplatanus,Spaethii,,Sycamore maple 'Spaethii'
ACRU,Acer,rubrum,,,Red maple
ACRUA,Acer,rubrum,Armstrong,,Red maple 'Armstrong'
ACRUG,Acer,rubrum,Gerling,,Red maple 'Gerling'
ACRUMO,Acer,rubrum,Morgan,,Red maple 'Morgan'
ACRUOG,Acer,rubrum,October Glory,,Red maple 'October Glory'
ACRURS,Acer,rubrum,Red Sunset,,Red maple 'Red Sunset'
ACSA,Acacia,saligna,,,Orange wattle
ACSA1,Acer,saccharinum,,,Silver maple
ACSA2,Acer,saccharum,,,Sugar maple
ACSA2GR,Acer,saccharum,Green Mountain,,Green mountain sugar maple
ACSA3,Acacia,salicina,,,Willow acacia
ACSP2,Acacia,,,,Acacia
ACST,Acacia,stenophylla,,,Shoestring acacia
ACTA,Acer,tataricum,,,Tatar maple
ACTR,Acer,truncatum,,,Purple blow maple
ACVE2,Acacia,verticillata,,,Prickly moses
ACWR,Acoelorraphe,wrightii,,,Silver saw palmetto
AE,Aesculus,,,,Buckeye
AECA,Aesculus,x carnea,,,Red horsechestnut
AECA2,Aesculus,californica,, ,California buckeye
AECA3,Aesculus,carnea,,,Red horsechestunt
AECA3_B,Aesculus,carnea,Briottii,,Red horsechestnut 'Briotti'
AECA3_S,Aesculus,carnea,Stafford,,Red horsechestnut 'Stafford '
AEFL,Aesculus,octandra,,,Yellow buckeye
AEGL,Aesculus,glabra,,,Ohio buckeye
AEHI,Aesculus,hippocastanum,,,Horsechestnut
AEOC,Aesculus,octandra,,,Yellow buckeye
AEPA,Aesculus,pavia,,,Red buckeye
AGFL,Agonis,flexuosa,,,Peppermint tree; astralian willow myrtle
AGVI14,Agathis,vitiensis,,,Nandu
AIAL,Ailanthus,altissima,,,Tree of heaven
AL,Alnus,,,,Alder
ALAR,Aloe,arborescens,,,Tree aloe
ALCO2,Alnus,cordata,,,Italian alder
ALEX,Alectryon,excelsus,,,Titoki
ALFA,Falcataria,moluccana,,,Moluccan albizia
ALGL,Alnus,glutinosa,,,European alder
ALJU,Albizia,julibrissin,,,Mimosa
ALLE,Albizia,lebbeck,,,Siris tree
ALMO,Aleurites,moluccana,,,Kukui
ALRH,Alnus,rhombifolia,,,White alder
ALRU2,Alnus,rubra,,,Red alder
AM,Amelanchier,,,,Serviceberry
AMAR,Amelanchier,arborea,,,Downy serviceberry
AMCA,Amelanchier,canadensis,,,Eastern service berry
AMNO4,Amherstia,nobilis,,,Pride of Burma
AMUT,Amelanchier,x Grandiflora,Autumn,,Utah serviceberry
ANCH4,Annona,cherimola,,,Cherimoya
ANIM,Andira,inermis,,,Partridgewood
ANMU,Annona,muricata,,,Soursop
ANRE,Annona,reticulata,,,Custard apple
ANSQ,Annona,squamosa,,,Sugar apple
ARAL,Archontophoenix,alexandrae,,,Alexandra palm
ARAL2,Artocarpus,altilis,,,Ulu
ARAR,Araucaria,araucana,,,Monkeypuzzle tree
ARBI,Araucaria,bidwillii,,,Bunya bunya
ARCO24,Araucaria,columnaris,,,Coral reef araucaria
ARCU,Archontophoenix,cunninghamiana,,,King palm
AREX,Araucaria,excelsa,,,Norfolk island pine
ARHE,Araucaria,heterophylla,,,Norfolk Island pine
ARHE2,Artocarpus,heterophyllus,,,Jack fruit
ARMA2,Arbutus,,,var. marina,Marina arbutus
ARME,Arbutus,menziesii,,,Pacific madrone
ARRO,Arecastrum,romanzoffianum,,,Queen palm
ARSP,Aralia,spinosa,,,Devils walking stick
ARUN,Arbutus,unedo,,,Strawberry tree
ASTR,Asimina,triloba,,,Pawpaw
AU1,Aucuba,,,,Acuba
AVBI,Averrhoa,bilimbi,,,Cucumber tree
AVCA,Averrhoa,carambola,,,Star fruit
AZIN2,Azadirachta,indica,,,Neem tree
BA,Bamboo,,,,Bamboo
BA13,Bauhinia,,,,Orchid tree
BABL,Bauhinia,x blakeana,,,Hong Kong orchid tree
BAFO,Bauhinia,forficata,,,Bauhinia
BAHO3,Bauhinia,hookeri,,,Orchid tree 'hookeri'
BAPU,Bauhinia,purpurea,,,Orchid tree 'purpurea'
BAVA,Bauhinia,variegata,,,"Orchid tree, variegated"
BDL OTHER,Broadleaf Deciduous Large,,,,Broadleaf Deciduous Large
BDM OTHER,Broadleaf Deciduous Medium,,,,Broadleaf Deciduous Medium
BDS OTHER,Broadleaf Deciduous Small,,,,Broadleaf Deciduous Small
BE,Betula,,,,Birch
BEAL,Betula,alleghaniensis,,,Yellow birch
BEAL2,Betula,albo-sinensis,,,Chinese birch
BELE,Betula,lenta,,,Black birch
BEL OTHER,Broadleaf Evergreen Large,,,,Broadleaf Evergreen Large
BEM OTHER,Broadleaf Evergreen Medium,,,,Broadleaf Evergreen Medium
BENI,Betula,nigra,,,River birch
BEPA,Betula,papyrifera,,,Paper birch
BEPE,Betula,pendula,,,European white birch
BEPEGR,Betula,pendula,Gracilis,,Weeping birch
BEPL2,Betula,platyphylla,,,Asian white birch
BEPO,Betula,populifolia,,,Gray birch
BERE,Beaucarnea,recurvata,,,Pony-tail palm
BES OTHER,Broadleaf Evergreen Small,,,,Broadleaf Evergreen Small
BEUT2,Betula,utilis,,,Indian paper birch
BIJA,Bischofia,javanica,,,Toog
BINO,Bismarckia,nobilis,,,Bismarckia palm
BIOR,Bixa,orellana,,,Lipstick plant
BO9,Bougainvillea,,,,Bouganvillea
BOSP,Bougainvillea,spectabilis,,,Bougainvillea
BOSP8,Bolusanthus,speciosus,,,Tree wisteria
BR,Brahea,,,,Palm(brahea)
BR1,Brachychiton,,,,Brachychiton
BRAC,Schefflera,actinophylla,,,Schefflera
BRAC2,Brachychiton,acerifolium,,,Arbol de la llama
BRAR,Brahea,armata,,,Mexican blue palm
BRBR,Brahea,brandegeei,,,San jose hesper palm
BRDI9,Brachychiton,discolor,,,Pink flame tree
BRED,Brahea,edulis,,,Guadalupe palm
BRPA,Broussonetia,papyrifera,,,Paper mulberry
BRPO,Brachychiton,populneum,,,Kurrajong
BRSU,Brugmansia,suaveolens,,,Datura
BUBU,Bucida,buceras,,,Geometry tree
BUCA,Butia,capitata,,,Jelly palm
BUDA2,Buddleja,davidii,,,Orange eye butterflybush
BUSP,Buxus,,,,Boxwood
CA1,Carya,,,,Hickory
CA3,Catalpa,,,,Catalpa
CA4,Castanea,,,,Chestnut
CA40,Carpinus,,,,Hornbeam
CA52,Casuarina,,,,Sheoak
CABE,Carpinus,betulus,,,European hornbeam
CABEF,Carpinus,betulus,Fastigiata,,Hornbeam 'Fastigiata'
CABI,Catalpa,bignonioides,,,Southern catalpa
CABI2,Cassia,bicapsularis,,,Winter cassia
CACA,Carpinus,caroliniana,,,American hornbeam
CACA3,Calodendrum,capense,,,Cape chesnut
CACA73,Calycophyllum,candidissimum,,,Lemonwood
CACI,Callistemon,citrinus,,,Red bottlebrush
CACO,Carya,cordiformis,,,Bitternut hickory
CACU8,Casuarina,cunninghamiana,,,River sheoak
CADE,Castanea,dentata,,,American chestnut
CADE2,Calocedrus,decurrens,,,Incense cedar
CAED,Casimiroa,edulis,,,White sapote
CAEQ,Casuarina,equisetifolia,,,Ironwood
CAER,Catalpa,erubescens,,,Purple toned catalpa
CAEX,Cassia,excelsa,,,Crown of gold tree
CAFI,Cassia,fistula,,,Golden shower
CAGL,Carya,glabra,,,Pignut hickory
CAGR11,Cassia,grandis,,,Pink shower
CAIL,Carya,illinoinensis,,,Pecan
CAIN4,Calophyllum,inophyllum,,,Kamani
CAJA,Carpinus,japonica,,,Japanese hornbeam
CAJA9,Camellia,japonica,,,Camellia
CALA,Carya,laciniosa,,,Shellbark hickory
CALE,Cassia,leptophylla,,,Gold medallion tree
CALO,Catalpa,longissima,,,Yokewood
CAMA37,Carissa,macrocarpa,,,Natal plum
CAME,Caesalpinia,mexicana,,,Mexican holdback
CAMI36,Caryota,mitis,,,Fishtail palm
CAMO,Castanea,mollissima,,,Chinese chestnut
CANE33,Cassia,x nealiae,,,Rainbow shower tree
CAOV,Carya,ovata,,,Shagbark hickory
CAOV2,Carya,ovalis,,,Red hickory
CAPA3,Carica,papaya,,,Papaya
CAPU,Castanea,pumila,,,Alleghany chinkapin
CAPU13,Caesalpinia,pulcherrima,,,Dwarf poinciana
CARI9,Callistemon,rigidus,,,Stiff bottlebrush
CARO,Cassia,javanica,,,Pink and white shower
CASA,Camellia,sasanqua,,,Sasanqua camellia
CASA5,Callistemon,salignus,,,White bottlebrush
CASP,Catalpa,speciosa,,,Western catalpa
CASP11,Caesalpinia,spinosa,,,Spiny holdback
CASSI,Cassia,,,,Cassia
CAST,Casuarina,stricta,,,Coast beefwood
CASU34,Calliandra,schultzii,,,Pink powder puff tree
CATE,Carya,texana,,,Black hickory
CATO,Carya,alba,,,Mockernut hickory
CATW,Calliandra,tweedii,,,Trinidad flame bush
CAVI,Callistemon,viminalis,,,Weeping bottlebrush
CE2,Celtis,,,,Hackberry
CE7,Cedrus,,,,Cedar
CEAT,Cedrus,atlantica,,,Atlas cedar
CEAU,Celtis,australis,,,European hackberry
CECA,Cercis,canadensis,,,Eastern redbud
CEDE,Cedrus,deodara,,,Deodar cedar
CEFI2,Cedrela,fissilis,,,Brazilian cedar wood
CEFL,Parkinsonia,florida,,,Blue paloverde
CEJA,Cercidiphyllum,japonicum,,,Katsura tree
CELA,Celtis,laevigata,,,Sugarberry
CEL OTHER,Conifer Evergreen Large,,,,Conifer Evergreen Large
CEMI,Parkinsonia,microphylla,,,Yellow paloverde
CEM OTHER,Conifer Evergreen Medium,,,,Conifer Evergreen Medium
CEOC,Celtis,occidentalis,,,Northern hackberry
CEOC2,Cercis,occidentalis,,,Western redbud
CEOC3,Cercis,canadensis,,var. texensis,Western redbud
CEPR,Cercidium,praecox,,,Sonoran palo verde
CERE,Celtis,reticulata,,,Western hackberry
CERE2,Cercis,reniformis,,,Southwestern redbud
CESI2,Cercis,siliquastrum,,,Arbol de judea
CESI3,Ceratonia,siliqua,,,Kelakid
CESI4,Celtis,sinensis,,,Chinese hackberry
CES OTHER,Conifer Evergreen Small,,,,Conifer Evergreen Small
CETH,Ceanothus,thyrsiflorus,,,Blue blossom
CH,Chamaecyparis,,,,Cedar
CH31,Chitalpa,,,,Chitalpa
CHFU,Chamaecyparis,funebris,,,Mourning cypress
CHHU,Chamaerops,humilis,,,Mediterranean fan palm
CHLA2,Chamaecyparis,lawsoniana,,,Port Orford cedar
CHLI,Chilopsis,linearis,,,Desert willow
CHLU,Dypsis,lutescens,,,Areca palm
CHNO,Chamaecyparis,nootkatensis,,,Alaska cedar
CHOB,Chamaecyparis,obtusa,,,Hinoki cypress
CHOL,Chrysophyllum,oliviforme,,,Satinleaf
CHPI,Chamaecyparis,pisifera,,,Sawara false cypress
CHRE,Chionanthus,retusus,,,Chinese fringe tree
CHSP,Chorisia,speciosa,,,Silk floss tree
CHTA,Chitalpa,tashkentensis,,,Chitalpa
CHTH,Chamaecyparis,thyoides,,,Atlantic white cedar
CHVI,Chionanthus,virginicus,,,Fringe tree
CIAU,Citrus,aurantifolia,,,Lime
CIAU2,Citrus,aurantium,,,Sour orange
CICA,Cinnamomum,camphora,,,Camphor tree
CIGR,Citrus,maxima,,,Pummelo
CILI,Citrus,limon,,,Lemon
CIPA,Citrus,x paradisi,,,Grapefruit
CIRE3,Citrus,reticulata,,,Mandarin orange
CISI,Citrus,sinensis,,,Orange
CISP,Citrus,,,,Citrus
CISP2,Citharexylum,spinosum,,,Fiddlewood
CIVE2,Cinnamomum,verum,,,Cinnamon
CL6,Clerodendrum,,,,Pagoda flower
CLLU,Cladrastis,kentukea,,,Yellowwood
CLQU,Clerodendrum,quadriloculare,,,Shooting star
CLRO,Clusia,rosea,,,Autograph tree
CLTR,Clerodendrun,trichotomum,,,Harlequin glorybower
CO1,Cornus,,,,Dogwood
CO2,Corylus,,,,Hazelnut
COAL,Cornus,alternifolia,,,Alternateleaf dogwood
COAM,Corylus,americana,,,American hazlenut
COAU,Cordyline,australis,,,Giant dracaena
COBU,Cotoneaster,buxifolius,,,Cotoneaster
COCI,Corymbia,citriodora,,,Lemon scented gum
COCO1,Cotinus,coggygria,,,Smoke tree
COCO2,Corylus,colurna,,,Turkish hazelnut
COERA2,Conocarpus,erectus,,var. argenteus,Silver buttonwood
COFL,Cornus,florida,,,Flowering dogwood
COKO,Cornus,kousa,,,Kousa dogwood
COLA,Cocculus,laurifolius,,,Laurel-leafed snailseed
COLA18,Cotoneaster,lacteus,,,Milkflower cotoneaster
COMA,Cornus,mas,,,Cornelian cherry
COMA2,Corylus,maxima,,var. purpurea,Purpule giant filbert
CONU,Cocos,nucifera,,,Coconut palm
CONU2,Cornus,nuttallii,,,Pacific dogwood
COOB,Cotinus,obovatus,,,American smoketree
COPR,Copernicia,prunifera,,,Carnauba wax palm
CORA,Cornus,racemosa,,,Gray dogwood
CORA13,Colvillea,racemosa,,,Colville's glory
COSE2,Cordia,sebestena,,,Geiger tree
COSU2,Cordia,subcordata,,,Kou
COUT,Corypha,utan,,,Buri palm
COUV,Coccoloba,uvifera,,,Sea-grape
COVI,Cochlospermum,vitifolium,,,Buttercup tree
CR,Crataegus,,,,Hawthorn
CRCR,Crataegus,crus-galli,,,Cockspur hawthorn
CRCRI,Crataegus,crus-galli,,var. inermis,Cockspur hawthorn
CRCU,Crescentia,cujete,,,Calabash tree
CRDO,Crataegus,douglasii,,,Black hawthorn
CRJA,Cryptomeria,japonica,,,Japanese red cedar
CRLA,Crataegus,x lavallei,,,Carriere hawthorn
CRLA80,Crataegus,laevigata,,,Smooth hawthorn
CRMO2,Crataegus,mollis,Scheele,,Arnold hawthorn
CROX,Crataegus,monogyna,,,Oneseed hawthorn
CRPA,Crinodendron,patagua,,,Patagua
CRPH,Crataegus,phaenopyrum,,,Washington hawthorn
CRRU,Cryptocarya,rubra,,,Cryptocarya
CRVI,Crataegus,viridis,,,Green hawthorn
CRVI2,Crataegus,viridis,Winter King,,Green hawthorn
CU,Cupressus,,,,Cypress
CUAN,Cupaniopsis,anacardioides,,,Carrotwood
CUAR,Cupressus,arizonica,,,Arizona cypress
CUGU,Cupressus,guadalupensis,,,Guadaluoe cypress
CULA,Cunninghamia,lanceolata,,,Blue Chinese fir
CULE,x Cupressocyparis,leylandii,,,Leyland cypress
CUMA,Cupressus,macrocarpa,,,Monterey cypress
CUSE,Cupressus,sempervirens,,,Italian cypress
CYCI,Cycas,circinalis,,,Queen sago
CYOB,Cydonia,oblonga,,,Quince
CYRE11,Cycas,revoluta,,,Sago palm
CYSC4,Cytisus,scoparius,,,Scotchbroom
DA2,Dalbergia,,,,Sissoo
DAIM,Dahlia,imperialis,,,Tree dahlia
DASI,Dalbergia,sissoo,,,India rosewood
DERE,Delonix,regia,,,Royal poinciana
DIKA,Diospyros,kaki,,,Japanese persimmon
DIVI,Diospyros,virginiana,,,Common persimmon
DOVI,Dodonaea,viscosa,,,Florida hopbush
DR,Dracaena,,,,Dragon tree
DRDR,Dracaena,draco,,,Dragon tree
DUER,Duranta,erecta,,,Golden dewdrops
DYDE2,Dypsis,decaryi,,,Triangle palm
EBEB,Ebenopsis,ebano,,,Texas ebony
EL1,Elaeagnus,,,,Elaeagnus
ELAN,Elaeagnus,angustifolia,,,Russian olive
ELDE,Elaeocarpus,decipiens,,,Japanese blueberry tree
ELOR2,Elaeodendron,orientale,,,False olive
ELUM,Elaeagnus,umbellata,,,Autumn olive
ENCY,Enterolobium,cyclocarpum,,,Ear pod tree
ER15,Erythrina,,,,Coral tree species
ERBI,Erythrina,bidwillii,,,Bidwill's coral tree
ERCA,Erythrina,caffra,,,Kaffirboom coral tree
ERCO,Erythrina,coralloides,,,Naked coral tree
ERCR,Erythrina,crista-galli,,,Coral tree
ERDE,Eriobotrya,deflexa,,,Bronze loquat
ERFA,Erythrina,falcata,,,Corticeira-da-serra
ERHU4,Erythrina,humeana,,,Natal coral tree
ERJA,Eriobotrya,japonica,,,Loquat tree
ERLY,Erythrina,lysistemon,,,Lysistemon coral tree
ERSA11,Erythrina,sandwicensis,,,Wiliwili
ERVA7,Erythrina,variegata,,,Indian coral tree
ERVAO,Erythrina,variegata,,var. orientalis,"Indian coral tree, oriental"
EU1,Eucalyptus,,,,Gum
EUCA,Eucalyptus,calophylla,,,Redgum
EUCA1,Eucalyptus,camaldulensis,,,Red gum eucalyptus
EUCI,Eucalyptus,cinerea,,,Silver dollar eucalyptus
EUCI2,Eucalyptus,citriodora,,,Lemonscented gum
EUCL,Eucalyptus,cladocalyx,,,Sugargum
EUCO24,Euphorbia,cotinifolia,,,Mexican shrubby spurge
EUCO3,Eucalyptus,cornuta,,,Yate
EUCR,Eucalyptus,crebra,,,Narrowleaf red ironbark
EUDE,Eucalyptus,deglupta,,,Mindanao gum
EUER,Eucalyptus,erythrocorys,,,Red-cap gum
EUFI81,Eucalyptus,ficifolia,,,Redflower gum
EUGL,Eucalyptus,globulus,,,Blue gum eucalyptus
EUGLCO,Eucalyptus,globulus,,var. compacta,Dwarf blue gum
EUGR,Eucalyptus,grandis,,,Flooded gum eucalyptus
EUGU,Eucalyptus,gunnii,,,Cicer gum eucalyptus
EULE,Eucalyptus,leucoxylon,,,White ironbark
EULE2,Eucalyptus,lehmannii,,,Bushy yate
EUMA,Eucalyptus,macrocarpa,,,Bluebush
EUMA23,Eucalyptus,maculata,,,Spotted gum
EUMI2,Eucalyptus,microtheca,,,Coolibah tree
EUNI,Eucalyptus,nicholii,,,Willow-leaved gimlet
EUNY,Eucryphia,x nymansensis,,,Namansay' eucryphia
EUOC9,Eucalyptus,occidentalis,,,Flat-top yate
EUPA2,Eugenia,paniculata,,,Brush cherry
EUPA26,Eucalyptus,parvula,,,Kybean gum
EUPO,Eucalyptus,polyanthemos,,,Sliver dollar gum eucalyptus
EURO,Eucalyptus,robusta,,,Swamp mahagony
EURU,Eucalyptus,rudis,,,Desert gum eucalyptus
EUSA,Eucalyptus,saligna,,,Sydney blue gum
EUSI,Eucalyptus,sideroxylon,,,Red ironbark
EUSM,Eugenia,smithii,,,Lilly-pilly tree
EUSP,Eucalyptus,spathulata,,,Narrow-leaved gimlet
EUSP,Euonymus,,,,Narrow-leaved gimlet
EUTE,Eucalyptus,tereticornis,,,Horn cap eucalyptus
EUTI,Euphorbia,tirucalli,,,Pencil tree
EUTO11,Eucalyptus,torquata,,,Coral gum
EUUL,Eucommia,ulmoides,,,Hardy rubber tree
EUUN2,Eugenia,uniflora,,,Surinam-cherry
EUVI,Eucalyptus,viminalis,,,Ribbon gum eucalyptus
FA,Fagus,,,,Beech
FABE,Fagraea,berteroana,,,Pua kenikeni
FAGR,Fagus,grandifolia,,,American beech
FASY,Fagus,sylvatica,,,European beech
FASYAT,Fagus,sylvatica,Atropunicea,,Purple leaf beech
FASYP,Fagus,sylvatica,Purpurea,,Copper Beech
FE,Feijoa,,,,Feijoa
FESE,Feijoa,sellowiana,,,Pineapple guava
FI1,Ficus,,,,Fig
FIAL5,Ficus,binnendijkii,,,Alii ficus
FIBE,Ficus,benjamina,,,Benjamin fig
FIBE2,Ficus,benghalensis,,,Indian banyan
FICA,Ficus,carica,,,Common fig
FIDE6,Filicium,decipiens,,,Fern tree
FIEL,Ficus,elastica,,,Rubber plant
FILY,Ficus,lyrata,,,Fiddle-leaf fig
FIMA2,Ficus,macrophylla,,,Morton Bay fig
FIMI,Ficus,thonningii,,,Figueira benjamin
FIMI2,Ficus,microcarpa,,,Chinese banyan
FIMINI,Ficus,microcarpa,nitida,var. green gem,Green gem indian laurel fig
FIRE3,Ficus,religiosa,,,Bo tree
FIRE4,Ficus,retusa,,ssp. nitida,Indian laurel fig
FIRU,Ficus,rubiginosa,,,Rustyleaf fig
FISI,Firmiana,simplex,,,Chinese parasoltree
FIVI3,Ficus,virens,,,Ara
FIWA,Ficus,watkinsiana,,,Watkins fig
FOIN3,Forsythia,x intermedia,,,Showy forsythia
FOPU2,Forestiera,pubescens,,,New Mexico olive
FORS,Forsythia,,,,Forsythia
FR,Fraxinus,,,,Ash
FRAM,Fraxinus,americana,,,White ash
FRAM_A,Fraxinus,americana,Autumn Purple,,Autumn purple ash
FRAMAA,Fraxinus,americana,Autumn Applause,,Autumn applause ash
FRAMCC,Fraxinus,americana,Champaign County,,Champaign County Ash
FRAM_R,Fraxinus,americana,Rosehill,,Rosehill ash
FRAN2,Fraxinus,angustifolia,,,Raywood ash
FRANR,Fraxinus,oxycarpa,Raywood,,Raywood ash
FRAN_R,Fraxinus,angustifolia,Raywood,,Raywood ash
FRBE,Fraxinus,berlandieriana,,,Arizona ash
FRCA,Fraxinus,caroliniana,,,Carolina ash
FRCA6,Fremontodendron,californicum,,,California flannelbush
FREX,Fraxinus,excelsior,,,European ash
FREXH,Fraxinus,excelsior,Hessei,,Hesse ash
FREX_K,Fraxinus,excelsior,Kimberly,,Kimberly ash
FRHO,Fraxinus,holotricha,,,Moraine ash
FRLA,Fraxinus,latifolia,,,Oregon ash
FRMA,Fraxinus,mandshurica,,,Manchurian ash
FRMA6,Fraxinus,malacophylla,,,Ash
FRME2,Fremontodendron,mexicanum,,,Mexican flannelbush
FRNI,Fraxinus,nigra,,,Black ash
FROR,Fraxinus,ornus,,,Flowering ash
FROR2,Fraxinus,oregana,,,Oregon ash
FROX,Fraxinus,oxycarpa,,,Caucasian ash
FROXA,Fraxinus,oxycarpa,Aureafolia,,Golden desert ash
FROX_F,Fraxinus,oxycarpa,Flame,,Flame ash
FRPE,Fraxinus,pennsylvanica,,,Green ash
FRPE2,Fraxinus,pennsylvanica,Patmore,,Patmore ash
FRPEM,Fraxinus,pennsylvanica,Marshall,,Marshall ash
FRPE_P,Fraxinus,pennsylvanica,Patmore,,Patmore ash
FRPES,Fraxinus,pennsylvanica,Summit,,Summit ash
FRPESG,Fraxinus,pennsylvanica,Sherwood Glen,,Green ash 'Sherwood Glen'
FRQU,Fraxinus,quadrangulata,,,Blue ash
FRUH,Fraxinus,uhdei,,,Tropical ash
FRVE,Fraxinus,velutina,,,Velvet ash
FRVE_FW,Fraxinus,velutina,Fan West,,Velvet ash 'Fan West'
FRVEG,Fraxinus,velutina,Modesto,,Modesto ash
GA2,Gardenia,,,,Gardenia
GAEL,Garrya,elliptica,,,Wavyleaf silktassel
GEPA,Geijera,parviflora,,,Wilga; australian willow
GIBI,Ginkgo,biloba,,,Ginkgo
GIBI_AG,Ginkgo,biloba,Autumn Gold,,Ginkgo 'Autumn Gold'
GIBI_F,Ginkgo,biloba,Fairmont,,Ginkgo 'Fairmont'
GIBI(F),Gingko,biloba,,female,Female ginkgo
GIBIF2,Ginkgo,biloba,Fastigiata,,Sentry ginkgo
GL3,Gleditsia,,,,Locust
GLCA,Gleditsia,caspica,,,Caspian locust
GLTR,Gleditsia,triacanthos,,,Honeylocust
GLTRI,Gleditsia,triacanthos,Imperial,,Imperial Honeylocust
GLTRIN,Gleditsia,triacanthos,,var. inermis,Thornless honeylocust
GLTRS,Gleditsia,triacanthos,Shademaster,,Shademaster honeylocust
GLTRS1,Gleditsia,triacanthos,Sunburst,,Sunburst Honeylocust
GRRO,Grevillea,robusta,,,Silky-oak
GUOF,Guaiacum,officinale,,,Lignum-vitae
GYDI,Gymnocladus,dioicus,,,Kentucky coffeetree
HA4,Hakea,,,,Hakea
HACA,Halesia,carolina,,,Snowdrop tree
HACA3,Harpephyllum,caffrum,,,Kaffir-plum
HADI,Halesia,diptera,,,Two-wing silverbell
HALA,Hakea,laurina,,,Pincushion tree
HAPE7,Harpullia,pendula,,,Tulipwood
HASU,Hakea,suaveolens,,,Sweet hakea; Scented hakea
HAVI,Hamamelis,virginiana,,,Witch hazel
HEAR,Heteromeles,arbutifolia,,,Christmasberry
HELI9,Heritiera,littoralis,,,Looking-glass tree
HENY,Hernandia,nymphaeifolia,,,Jack in the box tree
HIMO,Hibiscus,moschuetos,,,Rose mallow hibiscus
HIMU3,Hibiscus,mutabilis,,,Dixie rosemallow
HIRO-SI,Hibiscus,rosa-sinensis,,,Chinese hibiscus
HISP,Hibiscus,,,,Rosemallow
HISY,Hibiscus,syriacus,,,Rose-of-sharon
HITI,Hibiscus,tiliaceus,,,Sea hibiscus
HOFO,Howea,forsteriana,,,Forster sentry palm
HUCR,Hura,crepitans,,,Sandbox tree
HYFL,Hymenosporum,flavum,,,Sweetshade; Australian fragipani
HYLA,Hyophorbe,lagenicaulis,,,Bottle palm
HYVE9,Hyophorbe,verschaffeltii,,,Spindle palm
ILAL,Ilex,altaclarensis,,,Wilson holly
ILAQ,Ilex,aquifolium,,,English holly
ILAT,Ilex,x attenuata,,,Topal holly
ILCA,Ilex,cassine,,,Dahoon
ILCO2,Ilex,cornuta,,,Chinese Holly
ILMY,Ilex,myrtifolia,,,Myrtle dahoon
ILOP,Ilex,opaca,,,American holly
ILOP_S,Ilex,x attenuata,Savannah,,Savannah holly
ILPA2,Ilex,paraguariensis,,,Paraguay-tea
ILSP,Ilex,,,,Holly
ILVO,Ilex,vomitoria,,,Yaupon
JA6,Jasminum,,,,Jasmine
JAIN,Jatropha,integerrima,,,Jatropha
JAMI,Jacaranda,mimosifolia,,,Jacaranda
JU,Juniperus,,,,Juniper
JU1,Juglans,,,,Walnut
